City,JanTemp,Lat,Long,CitySize,Pop,Region,
"Mobile,AL",44,31.2,88.5,Under1M,204000,South,
"Montgomery,AL",38,32.9,86.8,Under1M,195000,South,
"Phoenix,AZ",35,33.6,112.5,Over1M,4830000,West,
"Little_Rock,AR",31,35.4,92.8,Under1M,205000,South,
"Los_Angeles,CA",47,34.3,118.7,Over1M,4500000,West,
"San_Francisco,CA",42,38.4,123,Under1M,800000,West,
"Denver,CO",15,40.7,105.3,Under1M,734000,West,
"New_Haven,CT",22,41.7,73.4,Under1M,130000,Northeast,
"Wilmington,DE",26,40.5,76.3,Under1M,75000,Northeast,
"Washington,DC",30,39.7,77.5,Under1M,720000,South,
"Jacksonville,FL",45,31,82.3,Over1M,1040000,South,
"Key_West,FL",65,25,82,Under1M,25000,South,
"Miami,FL",58,26.3,80.7,Under1M,500000,South,
"Atlanta,GA",37,33.9,85,Under1M,520000,South,
"Boise,ID",22,43.7,117.1,Under1M,235000,West,
"Chicago,IL",19,42.3,88,Over1M,2700000,Midwest,
"Indianapolis,IN",21,39.8,86.9,Under1M,900000,Midwest,
"Des_Moines,IA",11,41.8,93.6,Under1M,214000,Midwest,
"Wichita,KS",22,38.1,97.6,Under1M,400000,Midwest,
"Louisville,KY",27,39,86.5,Under1M,633000,South,
"New_Orleans,LA",45,30.8,90.2,Under1M,360000,South,
"Portland,ME",12,44.2,70.5,Under1M,70000,Northeast,
"Baltimore,MD",25,39.7,77.3,Under1M,560000,South,
"Boston,MA",23,42.7,71.4,Under1M,670000,Northeast,
"Detroit,MI",21,43.1,83.9,Under1M,645000,Midwest,
"Minneapolis,MN",2,45.9,93.9,Under1M,430000,Midwest,
"St.Louis,MO",24,39.3,90.5,Under1M,300000,Midwest,
"Helena,MT",8,47.1,112.4,Under1M,33000,West,
"Omaha,NE",13,41.9,96.1,Under1M,490000,Midwest,
"Concord,NH",11,43.5,71.9,Under1M,44000,Northeast,
"Atlantic_City,NJ",27,39.8,75.3,Under1M,39000,Northeast,
"Albuquerque,NM",24,35.1,106.7,Under1M,560000,West,
"Albany,NY",14,42.6,73.7,Under1M,100000,Northeast,
"New_York,NY",27,40.8,74.6,Over1M,8800000,Northeast,
"Charlotte,NC",34,35.9,81.5,Under1M,870000,South,
"Raleigh,NC",31,36.4,78.9,Under1M,500000,South,
"Bismarck,ND",0,47.1,101,Under1M,75000,Midwest,
"Cincinnati,OH",26,39.2,85,Under1M,300000,Midwest,
"Cleveland,OH",21,42.3,82.5,Under1M,375000,Midwest,
"Oklahoma_City,OK",28,35.9,97.5,Under1M,700000,South,
"Portland,OR",33,45.6,123.2,Under1M,650000,West,
"Harrisburg,PA",24,40.9,77.8,Under1M,50000,Northeast,
"Philadelphia,PA",24,40.9,75.5,Over1M,1600000,Northeast,
"Charleston,SC",38,33.3,80.8,Under1M,160000,South,
"Nashville,TN",31,36.7,87.6,Under1M,715000,South,
"Amarillo,TX",24,35.6,101.9,Under1M,200000,South,
"Galveston,TX",49,29.4,95.5,Under1M,55000,South,
"Houston,TX",44,30.1,95.9,Over1M,2300000,South,
"Salt_Lake_City,UT",18,41.1,112.3,Under1M,200000,West,
"Burlington,VT",7,45,73.9,Under1M,45000,Northeast,
"Norfolk,VA",32,37,76.6,Under1M,240000,South,
"Seattle,WA",33,48.1,122.5,Under1M,740000,West,
"Spokane,WA",19,48.1,117.9,Under1M,240000,West,
"Madison,WI",9,43.4,90.2,Under1M,270000,Midwest,
"Milwaukee,WI",13,43.3,88.1,Under1M,560000,Midwest,
"Cheyenne,WY",14,41.2,104.9,Under1M,65000,West,